,0,1,2,3
0,1.4862366756162928,1.3547235673884315,"[10, 10]",relu
1,1.493567398187814,1.473309111916045,"[10, 10]",sigmoid
2,1.5541230478128716,1.4794969798555322,[10],relu
3,1.5448073696364253,1.5131883565572701,[10],sigmoid
4,1.4787766232761488,1.4019596834265229,[50],relu
5,1.8438936751757966,1.8194987364110295,[50],sigmoid
6,1.296663386338856,1.1510173976558857,"[50, 50]",relu
7,1.4305248326235558,1.4131589612140985,"[50, 50]",sigmoid
8,1.327352679499244,1.2214731251423905,"[10, 10, 10]",relu
9,1.6974535651943803,1.6953673453945857,"[10, 10, 10]",sigmoid
10,1.16018910439471,0.9745653664891348,"[50, 50, 50]",relu
11,1.42226815735975,1.4036688153061974,"[50, 50, 50]",sigmoid
12,1.4604549691072695,1.3698481953598478,[100],relu
13,1.954357548297606,1.9400606922687231,[100],sigmoid
14,1.2465456720850958,1.1065880502795689,"[100, 100]",relu
15,1.4763431357792947,1.4545822525642063,"[100, 100]",sigmoid
16,1.0699954212842222,0.8812953219403511,"[100, 100, 100]",relu
17,1.4494707213118165,1.4265931230578577,"[100, 100, 100]",sigmoid
