,0,1,2,3,4
0,1.8630081020850269,1.8777114689532812,[100],0.1,sigmoid
1,1.317557929756374,1.1976173719574323,[100],0.1,relu
2,2.1120865791549415,2.0813540470866356,[100],1.0,sigmoid
3,1.3098213141732045,1.2974917407930033,[100],1.0,relu
4,2.1816587243033982,2.1917892821042644,[100],5.0,sigmoid
5,1.4455794373211615,1.4246478062504186,[100],5.0,relu
6,2.301463781284204,2.2899596862718417,[100],10.0,sigmoid
7,1.5422632545441899,1.507449115979313,[100],10.0,relu
8,1.4563280748269394,1.3970342772324678,[1000],0.1,sigmoid
9,0.91682675397115,0.5772235798666882,[1000],0.1,relu
10,1.853905007532126,1.808023575878337,[1000],1.0,sigmoid
11,0.99492808675905,0.8550653830494457,[1000],1.0,relu
12,2.035641757614778,2.041062581517528,[1000],5.0,sigmoid
13,1.2157345094148995,1.0861055802476345,[1000],5.0,relu
14,2.1014842848696365,2.1018926808383513,[1000],10.0,sigmoid
15,1.250869103184084,1.1535811645287752,[1000],10.0,relu
16,1.4147576312655188,1.3584237770309908,[2000],0.1,sigmoid
17,0.806548340889202,0.36446525347441616,[2000],0.1,relu
18,1.7050438022010506,1.6928195094011855,[2000],1.0,sigmoid
19,0.9454217659625138,0.7451732143736547,[2000],1.0,relu
20,1.9061666594118736,1.9145053303727526,[2000],5.0,sigmoid
21,1.1365050309068498,0.9672006073157603,[2000],5.0,relu
22,1.991404319123375,1.9473426556350475,[2000],10.0,sigmoid
23,1.170603861512327,1.0827584583973788,[2000],10.0,relu
24,1.8795300368970436,1.8477247221774888,"[100, 100]",0.1,sigmoid
25,1.351343377276526,1.1633280897200244,"[100, 100]",0.1,relu
26,2.0051130959839085,2.006692218735418,"[100, 100]",1.0,sigmoid
27,1.3731999123849636,1.2421241145497608,"[100, 100]",1.0,relu
28,2.2177843544586575,2.235096191574491,"[100, 100]",5.0,sigmoid
29,1.5151743925674308,1.4386746375243,"[100, 100]",5.0,relu
30,2.1738290538422973,2.2271871568514827,"[100, 100]",10.0,sigmoid
31,1.4442729754207617,1.468410254712467,"[100, 100]",10.0,relu
32,1.4670869368067478,1.4011790040230863,"[1000, 1000]",0.1,sigmoid
33,0.8184866721868623,0.5708367406729833,"[1000, 1000]",0.1,relu
34,1.881087350756678,1.82765977011588,"[1000, 1000]",1.0,sigmoid
35,1.0385703375878972,0.8630744845703843,"[1000, 1000]",1.0,relu
36,1.9728626052931713,1.9845051085266363,"[1000, 1000]",5.0,sigmoid
37,1.176950152218497,1.0761421904526276,"[1000, 1000]",5.0,relu
38,2.0934001615957327,2.077842085254968,"[1000, 1000]",10.0,sigmoid
39,1.1943207019561983,1.1180843896446164,"[1000, 1000]",10.0,relu
40,1.347163433052201,1.2880898508964789,"[2000, 2000]",0.1,sigmoid
41,0.7322398222081634,0.3823005818673189,"[2000, 2000]",0.1,relu
42,1.7353907986159574,1.6712560387209918,"[2000, 2000]",1.0,sigmoid
43,1.028403016460619,0.8093450834683351,"[2000, 2000]",1.0,relu
44,1.900904324450142,1.919675531518711,"[2000, 2000]",5.0,sigmoid
45,1.0475524187032472,0.9586751254581135,"[2000, 2000]",5.0,relu
46,1.9536471063445686,1.9411293040675939,"[2000, 2000]",10.0,sigmoid
47,1.1199680359293152,1.0427610385957324,"[2000, 2000]",10.0,relu
