Validation mean,Validation deviation,Training mean,Training deviation,C,epsilon,gamma,degree,kernel,coef,time,Validation foldN _0,Validation foldN _1,Validation foldN _2,Validation foldN _3,Validation foldN _4,Training foldN _0,Training foldN _1,Training foldN _2,Training foldN _3,Training foldN _4
Validation mean,Validation deviation,Training mean,Training deviation,C,epsilon,gamma,degree,kernel,coef,time
12.8,2.6381811916545836,51.2,2.638181191654584,0.01,0.001,100000,0,rbf,0,0.006657123565673828,9,14,12,17,12,55,50,52,47,52
12.8,2.6381811916545836,51.2,2.638181191654584,0.1,0.001,0.0001,0,rbf,0,0.00502777099609375,9,14,12,17,12,55,50,52,47,52
12.8,2.6381811916545836,51.2,2.638181191654584,0.1,0.001,0.001,0,rbf,0,0.006047487258911133,9,14,12,17,12,55,50,52,47,52
12.8,2.6381811916545836,51.2,2.638181191654584,0.1,0.001,0.01,0,rbf,0,0.006452322006225586,9,14,12,17,12,55,50,52,47,52
12.8,2.6381811916545836,51.2,2.638181191654584,0.1,0.001,0.1,0,rbf,0,0.007128000259399414,9,14,12,17,12,55,50,52,47,52
12.8,2.6381811916545836,51.2,2.638181191654584,0.1,0.001,1,0,rbf,0,0.008124113082885742,9,14,12,17,12,55,50,52,47,52
12.8,2.6381811916545836,51.2,2.638181191654584,0.1,0.001,10,0,rbf,0,0.008211374282836914,9,14,12,17,12,55,50,52,47,52
12.8,2.6381811916545836,51.2,2.638181191654584,0.1,0.001,100,0,rbf,0,0.008773326873779297,9,14,12,17,12,55,50,52,47,52
12.8,2.6381811916545836,51.2,2.638181191654584,0.1,0.001,1000,0,rbf,0,0.0067293643951416016,9,14,12,17,12,55,50,52,47,52
12.8,2.6381811916545836,51.2,2.638181191654584,0.1,0.001,10000,0,rbf,0,0.0068514347076416016,9,14,12,17,12,55,50,52,47,52
12.8,2.6381811916545836,51.2,2.638181191654584,0.1,0.001,100000,0,rbf,0,0.006680727005004883,9,14,12,17,12,55,50,52,47,52
12.8,2.6381811916545836,51.2,2.638181191654584,1,0.001,0.0001,0,rbf,0,0.00601506233215332,9,14,12,17,12,55,50,52,47,52
12.8,2.6381811916545836,51.2,2.638181191654584,1,0.001,0.001,0,rbf,0,0.005781412124633789,9,14,12,17,12,55,50,52,47,52
12.8,2.6381811916545836,51.2,2.638181191654584,1,0.001,0.01,0,rbf,0,0.006488800048828125,9,14,12,17,12,55,50,52,47,52
