Validation mean,Validation deviation,Training mean,Training deviation,C,epsilon,gamma,degree,kernel,coef,time,Validation foldN _0,Validation foldN _1,Validation foldN _2,Validation foldN _3,Validation foldN _4,Training foldN _0,Training foldN _1,Training foldN _2,Training foldN _3,Training foldN _4
1.332947715912539,0.08332236253288443,1.1975087927950414,0.024742808461485674,0.1,0.001,0.1,4.0,poly,1,1.773791790008545,1.4206488748871644,1.237591589938165,1.2636831660373093,1.3000880781929667,1.4427268705070895,1.183749067644954,1.2275439981528158,1.2218654993658111,1.1937886748147024,1.1605967239969235
1.2053176960409946,0.08626154498490698,0.9856865348706527,0.02349405209315487,0.1,0.001,0.1,5.0,poly,1,0.4159393310546875,1.268672109701864,1.121178242417882,1.1002325886636217,1.2084718591228696,1.3280336802987356,0.9996200326161676,1.012694046023434,0.997524428501861,0.9716129757569839,0.9469811914548171
1.112424500810519,0.10387374933851592,0.7973136086451308,0.025247767675934573,0.1,0.001,0.1,6.0,poly,1,0.5899600982666016,1.095401803573832,0.9805447982761589,1.0477249544292875,1.1511526311206792,1.2872983166526373,0.8227396426367235,0.8240695225764869,0.7946650823716507,0.7897383507356203,0.7553554449051725
1.0376013188144373,0.15500896823615778,0.6327978436853706,0.02843910233021392,0.1,0.001,0.1,7.0,poly,1,0.8943109512329102,0.9240987651634587,0.8534510317175432,1.0160058420614497,1.092538719769826,1.3019122353599086,0.6631761640229987,0.654565525362976,0.6341546901346995,0.6306850067237788,0.5814078321823999
1.0340384525487063,0.21693380248746544,0.4795837973939118,0.03177265767335026,0.1,0.001,0.1,8.0,poly,1,1.7616727352142334,0.8269264396341104,0.813003176415224,1.0069012089295637,1.1217325833371037,1.4016288544275306,0.5082604925848629,0.5144662174706328,0.48247249698292133,0.46626431366642856,0.4264554662647136
1.246136324222369,0.08717406221717966,1.05980803691908,0.02163010325708317,0.2,0.001,0.1,4.0,poly,1,0.4573683738708496,1.322701685697477,1.1408254419493866,1.1672286714432967,1.232795476354608,1.3671303456670763,1.0638048599294692,1.0842473531063825,1.0723108386499414,1.0584662109959386,1.020210921913668
1.134888737909244,0.09597822689467085,0.8649400236772224,0.02294790404379592,0.2,0.001,0.1,5.0,poly,1,0.5002868175506592,1.142125720380269,1.0272400513903206,1.049352173655502,1.1578143049863356,1.2979114391337927,0.8810916091801152,0.8898212074147681,0.8713139252115568,0.8583942178881548,0.8240791586915178
1.0508981283853485,0.1269508590356739,0.6862690376260788,0.028814078697966775,0.2,0.001,0.1,6.0,poly,1,0.8447239398956299,0.9995071018040623,0.8874549797417528,0.9982862026008804,1.1049462788569373,1.26429607892311,0.71801535468194,0.7080806020067656,0.6848138869435448,0.6857932262919219,0.6346421182062217
1.025157899960136,0.1881758514015675,0.5233604779424608,0.03271038240358979,0.2,0.001,0.1,7.0,poly,1,1.4572124481201172,0.8569713496319331,0.826608236004925,0.9908316456920786,1.1079219339780735,1.3434563344936694,0.5558278658535883,0.5558556793244704,0.5231875155155115,0.5148497429255975,0.46708158609313605
1.0469688293951225,0.282866299940826,0.3684966972192832,0.035894083758648054,0.2,0.001,0.1,8.0,poly,1,2.7462031841278076,0.789527755663665,0.7570645213672448,0.9972781122083326,1.159676377473624,1.531297380262747,0.4003922508457803,0.4047564390905256,0.37661159240472636,0.3541881470044938,0.30653505675088977
1.2023657373472054,0.0849696450085076,0.996087725993228,0.018579197834191978,0.30000000000000004,0.001,0.1,4.0,poly,1,0.4287838935852051,1.261086723390304,1.0940437934561518,1.1281870970659282,1.2019890124858288,1.326522060337814,1.0053942080193676,1.0153360910751548,1.0069745576464875,0.9900138034727579,0.9627199697523727
1.1048195468703064,0.0990467450638028,0.7983102709571648,0.025049060611351717,0.30000000000000004,0.001,0.1,5.0,poly,1,0.631493330001831,1.0996593794798082,0.981401436964276,1.0320024362762976,1.1414459967534192,1.2695884848777308,0.8200456988183225,0.8221907175851901,0.8031815585240755,0.7930212185291075,0.7531121613291281
1.0290075529762894,0.14769656839207496,0.6261015141369274,0.02844212900579309,0.30000000000000004,0.001,0.1,6.0,poly,1,1.1572847366333008,0.9261459671675218,0.8587871974499094,0.9896675555777331,1.0873294601171426,1.2831075845691406,0.654842424085414,0.6496294987865208,0.6239128883452231,0.627578928648155,0.5745438308193241
1.0269308065163778,0.21845023058358415,0.4632926987676436,0.034184095149587715,0.30000000000000004,0.001,0.1,7.0,poly,1,2.161684989929199,0.8226413917076245,0.8001065225920204,0.9920994588907848,1.1263865151387553,1.3934201442527039,0.49515450002246575,0.5025692506433415,0.4605838302358278,0.4507147855981494,0.40744112733843346
1.0536781457240747,0.31829645655716005,0.31106822346722673,0.03537605137485533,0.30000000000000004,0.001,0.1,8.0,poly,1,3.6717498302459717,0.7710187911658457,0.7047474067066932,1.0013341206354776,1.210859702872212,1.5804307072401447,0.34019501620036224,0.3468330348264852,0.32214187600752753,0.2967694227520162,0.24940176754974253
1.1760075736373872,0.08858364264496779,0.9547843125512067,0.020421891287116516,0.4,0.001,0.1,4.0,poly,1,0.465496301651001,1.2257645421780388,1.0639298183908235,1.093536580028513,1.1896057811380845,1.3072011464514766,0.9683366399203917,0.974348482442503,0.9655177829585031,0.9477292426182135,0.9179894148164225
1.0883043790083389,0.10579995210895847,0.7555515851691955,0.026115358920820335,0.4,0.001,0.1,5.0,poly,1,0.8011152744293213,1.0704107729503478,0.953377925691429,1.0182925279693122,1.1376150568486403,1.2618256115819633,0.7831443256290874,0.7784697441467364,0.7570389950091103,0.7491653605631087,0.7099395004979344
1.0240161494880557,0.16161223325422386,0.5830329030713914,0.03134413206411418,0.4,0.001,0.1,6.0,poly,1,1.2831833362579346,0.8944655413181872,0.8505434238193125,0.9840973917747506,1.0875097051038256,1.3034646854242027,0.6146274368018424,0.6115552122832524,0.5817947484773129,0.5797245117333132,0.5274626060612365
1.0308105684000346,0.24375244306797858,0.4219809228660174,0.03620512876526395,0.4,0.001,0.1,7.0,poly,1,2.477536916732788,0.8028094447820305,0.7817839059621945,0.9933698129220003,1.1309831852738688,1.445106493060078,0.4544604163663388,0.46195628992964527,0.4249460059210879,0.40716454851699857,0.36137735359601664
1.0739802346354352,0.3458927106834276,0.272969519865533,0.03476660508902732,0.4,0.001,0.1,8.0,poly,1,4.784861326217651,0.7764612342561293,0.6805638274539553,1.0109962063805387,1.2682509191725937,1.6336289859139594,0.2997806983290457,0.3066948379286348,0.2887217637816582,0.25751026183761716,0.21214003745070875
1.1629291501983474,0.09065388422241777,0.9227801683457091,0.022061982197404684,0.5,0.001,0.1,4.0,poly,1,0.4964907169342041,1.1929219516814493,1.0498875562515193,1.0786584527686072,1.190405235484048,1.3027725548061135,0.9386915258414389,0.9447674763385006,0.9315855300941022,0.9156896861230492,0.8831666233314555
1.0728922612265768,0.11186616432082765,0.7262389352862672,0.026167363888835664,0.5,0.001,0.1,5.0,poly,1,0.8785827159881592,1.0438800125599261,0.9327360469960285,1.0033237831423563,1.1261272228069021,1.2583942406276705,0.7546207978033419,0.7478118446332412,0.7252704987047713,0.7235627992396306,0.6799287360503502
1.0256356377716227,0.17489249660812123,0.5501169565539955,0.033393977004549075,0.5,0.001,0.1,6.0,poly,1,1.5737509727478027,0.8800203092512022,0.8430928824605454,0.9825903172171233,1.0936312982471097,1.3288433816821326,0.5834706300975293,0.5819727990283852,0.5484048903519821,0.5451042749682851,0.4916321883237955
1.0384587270144583,0.2650005441745939,0.3913859555541936,0.03764317088042259,0.5,0.001,0.1,7.0,poly,1,3.0410282611846924,0.8011821836074704,0.7645681089459446,0.991345960154971,1.1418824976268083,1.4933148847370965,0.4264847595019657,0.4304332197703814,0.3963431998861208,0.3760746107012501,0.32759398791124994
1.0837234448032802,0.35940145103311855,0.24598193972130025,0.03334014778610501,0.5,0.001,0.1,8.0,poly,1,5.4134361743927,0.7723441536340073,0.6747350807415553,1.0158268017569638,1.295745443194762,1.6599657446891132,0.2722499635420576,0.27566538463546525,0.26462186593543024,0.22939042473589352,0.18798205975765478
1.1535443226023863,0.09307082581591397,0.896719946640468,0.022624182974309345,0.6,0.001,0.1,4.0,poly,1,0.560809850692749,1.168497510292027,1.0394414204301377,1.068589752444605,1.1912671441928786,1.2999257856522826,0.912257353084612,0.920764632139917,0.9041367160890355,0.8902536516123175,0.8561873802764575
1.0605908419409145,0.11783737993904095,0.7021891957959155,0.02652452934168082,0.6,0.001,0.1,5.0,poly,1,1.04691481590271,1.0156495660425786,0.9152088811119349,0.9955187004403008,1.1196415189892743,1.2569355431204843,0.7308415266836679,0.7228910753203955,0.6994088838859063,0.7031502903594755,0.6546542027301323
1.025827424720935,0.18531625624087686,0.523930891540367,0.033715621100708554,0.6,0.001,0.1,6.0,poly,1,1.9893789291381836,0.8659172607025226,0.834212893795004,0.9830799920287229,1.1007534504899414,1.3451735265884832,0.5574347685872262,0.5572254164952912,0.5211061414779914,0.518386333606333,0.46550179753499293
1.0442889406227205,0.2811918228584607,0.3663990864045417,0.03863363345080721,0.6,0.001,0.1,7.0,poly,1,3.544235944747925,0.7995875169586543,0.7485284762383366,0.9919674089491513,1.1541899896573782,1.5271713113100815,0.402182568090713,0.4052544305021656,0.3727248658183783,0.3519450733089818,0.2998884943024697
1.0883829822925901,0.3688052037492915,0.22501650470379309,0.032455496558009805,0.6,0.001,0.1,8.0,poly,1,6.571581602096558,0.7679458391276673,0.6694384001259507,1.0185780853644961,1.306391664555022,1.6795609222898136,0.2520085015867044,0.2510285257049841,0.245330672517107,0.20786586593163311,0.16884895777853703
1.1469728181429946,0.09402974477073174,0.8747968473304131,0.023509569580286934,0.7000000000000001,0.001,0.1,4.0,poly,1,0.588036060333252,1.1571854514225213,1.0327098011936677,1.0627716407173546,1.1852485038829124,1.296948693498518,0.8907525513279673,0.9014649742307711,0.8812916830077006,0.8668088934857388,0.8336661345998879
