Validation mean,Validation deviation,Training mean,Training deviation,C,epsilon,gamma,degree,kernel,coef,time,Validation foldN _0,Validation foldN _1,Validation foldN _2,Validation foldN _3,Validation foldN _4,Training foldN _0,Training foldN _1,Training foldN _2,Training foldN _3,Training foldN _4
Validation mean,Validation deviation,Training mean,Training deviation,C,epsilon,gamma,degree,kernel,coef,time
2.170654490296104,0.6733002108819396,1.4011644492950812,0.07150626250276897,0.1,0.01,scale,7,poly,1,0.790602445602417,1.9666430582233883,1.6401593390792275,1.9519195853695193,1.798322799362685,3.4962276694456986,1.3870297469884731,1.4155493110658985,1.3515804273815342,1.529473851560594,1.3221889094789059
2.1712113945073,0.6736304686579644,1.401633175424551,0.07154087138139051,0.1,0.009000000000000001,scale,7,poly,1,0.7808725833892822,1.9669738008864837,1.6403268480388136,1.952399730375603,1.798924138718996,3.4974324545166042,1.387334807520296,1.4158162046157277,1.351997735016714,1.5301512993956539,1.3228658305743632
2.1717627095111163,0.6738894595430335,1.4021093482759799,0.07160549529956341,0.1,0.008,scale,7,poly,1,0.7887794971466064,1.9673095348312228,1.6404733927662192,1.9529410951723383,1.7996077827457542,3.4984817420400467,1.3876451197219795,1.4160809297023014,1.3524155315441924,1.5308932253756922,1.3235119350357338
2.172326736484282,0.6741797511011753,1.4025865778695272,0.07165747904638774,0.1,0.007,scale,7,poly,1,0.7880716323852539,1.9676565647395523,1.640678358135565,1.9534622798678216,1.8002233334029107,3.4996131462755597,1.3879640159255378,1.4163388111176982,1.3528700284927104,1.5316098990054459,1.3241501348062437
2.172884392399083,0.6744965103249053,1.4030496587924433,0.07171642810188501,0.1,0.006,scale,7,poly,1,0.7935590744018555,1.9680419900097923,1.640808595015445,1.9539642791216274,1.800826139848183,3.500780958000366,1.3882637901042396,1.4165542975658487,1.3533124347253604,1.5323374971056343,1.3247802744611339
2.1734577049813972,0.6747602088003731,1.4035097323889194,0.07178144695168892,0.1,0.005,scale,7,poly,1,0.8033018112182617,1.968333859205253,1.6411205404808893,1.9544839965513676,1.8014648322362836,3.5018852964331924,1.3885492326485331,1.4167805322175824,1.3537598344978594,1.5330680633980722,1.3253909991825494
2.1740915005460084,0.6750523395306599,1.4039763093437525,0.0718414190264921,0.1,0.004,scale,7,poly,1,0.816417932510376,1.9687774219645102,1.641381903749613,1.9550077819891472,1.802198267174007,3.503092127852766,1.3888894865337291,1.416999956524775,1.3541908942013423,1.5337899547296154,1.3260112547292997
2.1746469491186224,0.6752635727736847,1.4044294850206662,0.07188896735353865,0.1,0.003,scale,7,poly,1,0.8208632469177246,1.9692444181177025,1.641643509241786,1.9555348498184626,1.8027617996348126,3.5040501687803487,1.3892065965196865,1.4172115762965574,1.3546716451410643,1.534468229338249,1.3265893778077744
2.1752560743709197,0.6754887122800736,1.4048906321006889,0.07194593065847425,0.1,0.002,scale,7,poly,1,0.8407719135284424,1.9698424322112147,1.6419495937105255,1.9560497295326145,1.8033516760000103,3.5050869404002323,1.3895161113231167,1.4174563226326666,1.3551337959972498,1.5351674430948397,1.3271794874555718
2.175835965063512,0.675714015554462,1.405345842997703,0.07200499159637092,0.1,0.001,scale,7,poly,1,0.883275032043457,1.970287007227641,1.6421938462686032,1.956576960674384,1.8040219115375058,3.506100099609428,1.389849260889429,1.417676880115383,1.3555822402883335,1.5358638455461011,1.327756988149268
2.1839767272425705,0.6791702595610827,1.4433043339261364,0.07757679587190007,0.09000000000000001,0.01,scale,7,poly,1,0.7465817928314209,1.9977924410663377,1.6533219321377497,1.9360335263171402,1.8110247060829319,3.521711030608692,1.4212423836472652,1.4611105500537693,1.4000509924421358,1.581705279499237,1.3524124639882757
2.1846601502864305,0.6794280452217614,1.4438229319378597,0.07758713412742227,0.09000000000000001,0.009000000000000001,scale,7,poly,1,0.7488572597503662,1.9983010116831934,1.6536324399836548,1.9368234848957793,1.811660735075668,3.522883079793858,1.4216368601591278,1.4614212045771324,1.40056918124143,1.5823770397808683,1.3531103739307409
2.185319730334691,0.6796789656773662,1.4443315129838008,0.07760845008834717,0.09000000000000001,0.008,scale,7,poly,1,0.7612471580505371,1.9987548973880929,1.6539442487310387,1.9376280334841338,1.8122509963739442,3.524020475696246,1.421999898221186,1.4617288991939328,1.401072052584122,1.5830610116628765,1.3537957032568866
2.1860701997682064,0.6799649780949615,1.444857749513745,0.07764704727508669,0.09000000000000001,0.007,scale,7,poly,1,0.7674136161804199,1.9992964894863599,1.6542478023729765,1.9385729420401197,1.8129278589392166,3.525305906002359,1.42237798845314,1.4620235592694526,1.4015799041895778,1.5838091357585633,1.354498159897991
2.1867255176908635,0.6801604615058613,1.44536497382107,0.07767036824416626,0.09000000000000001,0.006,scale,7,poly,1,0.7608356475830078,1.9997825054802865,1.6545327019588643,1.9395382890445556,1.813463455349593,3.526310636621017,1.4227608052634129,1.4623480648167737,1.4020809722214975,1.5844794044589783,1.355155622344688
2.1874077275961823,0.6803859481914696,1.4458839264674377,0.07772568312370791,0.09000000000000001,0.005,scale,7,poly,1,0.7697277069091797,2.0002074079074026,1.6547682601751732,1.9405061832689547,1.8141508029959952,3.527405983633386,1.4231326944940685,1.462658185230561,1.4025766669320443,1.5852374813386654,1.3558146043418504
2.1881095444799157,0.6806495724692718,1.4463961889975547,0.07775095595382003,0.09000000000000001,0.004,scale,7,poly,1,0.7735087871551514,2.0007549987591515,1.654981602569934,1.9415103239485991,1.814720592926867,3.528580204195028,1.4235289108845701,1.4629269020759408,1.403073540331279,1.5859428569926437,1.3565087347033393
2.188767473943393,0.6808835838959114,1.446891535353649,0.07778748715670565,0.09000000000000001,0.003,scale,7,poly,1,0.7901866436004639,2.0011886358109954,1.6552245309352056,1.9424165680584262,1.8153375813487256,3.5296700535636116,1.4238867035457685,1.4632469936101784,1.4035442537035399,1.5866263499525493,1.3571533759562089
2.1894803799692726,0.6811907342152881,1.4474060992646156,0.07782946959704082,0.09000000000000001,0.002,scale,7,poly,1,0.8087422847747803,2.001680175077401,1.6555042797972015,1.9432918510324735,1.8159612116415744,3.5309643822977135,1.424286970953588,1.4635323702436387,1.4040198988261097,1.58735884930504,1.357832406994702
2.1901783394749508,0.6815512671732312,1.4479127657250852,0.07786107048232811,0.09000000000000001,0.001,scale,7,poly,1,0.823523998260498,2.0021026425982558,1.6557369339678487,1.9441681782729732,1.816532583371299,3.5323513591643767,1.4246595834493698,1.4638134775171707,1.4044801811855832,1.5880707890426544,1.3585397974306481
2.2024749168120303,0.6843576203980614,1.4894383750735236,0.08533618518108342,0.08,0.01,scale,7,poly,1,0.7018816471099854,2.0389306470191637,1.665243357445653,1.9391502005153183,1.8207319708423286,3.5483184082376877,1.4586681023852075,1.5161945174964218,1.4501736257519748,1.6381021637517725,1.3840534659822408
2.2029908726653766,0.6846453644238573,1.4900127602596516,0.08542485773201838,0.08,0.009000000000000001,scale,7,poly,1,0.7286250591278076,2.038994396764535,1.665371647565549,1.9398972492038749,1.821280489667715,3.54941058012521,1.459006257391773,1.5167188286903408,1.4506424265836377,1.638948150441348,1.3847481381911584
2.2034391389761216,0.684861460352692,1.4905760209402321,0.08551560889925039,0.08,0.008,scale,7,poly,1,0.7209572792053223,2.0389985327262385,1.6654572654354272,1.9406777473442465,1.8217749238904355,3.5502872254842597,1.4593355237676449,1.5172424624831096,1.4511103364240905,1.6397773351166764,1.3854144469096388
2.203937336289317,0.685088525355974,1.4911346342031222,0.08557713981318305,0.08,0.007,scale,7,poly,1,0.7145137786865234,2.0391093276622474,1.6655643340799016,1.9415275356207888,1.8222612058591288,3.5512242782245202,1.4596866824286594,1.5177342194430954,1.4515947685645136,1.640553284352155,1.3861042162271875
2.2043894908186696,0.6852957710225545,1.4916742142808181,0.08564668961867704,0.08,0.006,scale,7,poly,1,0.7144119739532471,2.0390569753516847,1.665638125030848,1.9423744679144046,1.8227892521095315,3.55208863368688,1.4600600995846236,1.5181361112964717,1.4520852760892413,1.6413415388956036,1.3867480455381507
2.204881423275103,0.6854598895266556,1.4922205879735704,0.08571783085295227,0.08,0.005,scale,7,poly,1,0.7206594944000244,2.039163990377252,1.665698554571449,1.9432469715935947,1.8234093691280302,3.5528882307051872,1.460424603917615,1.5185262120723384,1.4525533097466772,1.6421604353753971,1.387438378755824
2.205367601689144,0.6856542180074685,1.4927624660486496,0.08577128776504608,0.08,0.004,scale,7,poly,1,0.7500240802764893,2.039378201618361,1.6657463111594621,1.9439398000254988,1.8240346358839572,3.553739059758441,1.4608190262435221,1.5189317758705403,1.4530172831490675,1.6429243779937404,1.3881198669863777
2.2059550817014046,0.6858328767809564,1.4933456966122818,0.08583624670533828,0.08,0.003,scale,7,poly,1,0.744788408279419,2.0397378793599024,1.6658637581453095,1.9448301236230268,1.8246987427374415,3.5546449046413433,1.4612454459721922,1.5193771058364487,1.4535199737622062,1.64375278058459,1.3888331769059716
2.2065122029575694,0.6860014466247887,1.493888340643523,0.08588896958648154,0.08,0.002,scale,7,poly,1,0.7479109764099121,2.04009990709368,1.6660009766704178,1.9456150796247624,1.825339068447056,3.555505982951932,1.461652679327317,1.519771393114381,1.453944035923186,1.644528474870405,1.3895451199823259
2.2070899035851803,0.6861457839892077,1.4944679055356704,0.0859333879316449,0.08,0.001,scale,7,poly,1,0.7754702568054199,2.0406373819944146,1.6661087913643866,1.9463506515708384,1.8260321814186844,3.5563205115775776,1.4620948952276789,1.5201820747295542,1.4544344694007063,1.6453302100514289,1.390297878268984
2.2338004924799,0.6834895219921695,1.5385156776400255,0.09278963968577436,0.07,0.01,scale,7,poly,1,0.6867070198059082,2.1407038933164393,1.6814648734746869,1.9581381479350763,1.8220374232051733,3.5666581244681237,1.5081506352470846,1.5692146743522597,1.4982574650893505,1.6977032086961992,1.4192524048152337
2.234345529467116,0.6837694747739955,1.5391169102304971,0.09286840201518477,0.07,0.009000000000000001,scale,7,poly,1,0.6879103183746338,2.1411326478025683,1.681304261985845,1.9589342682726871,1.8226602516659745,3.5676962176085065,1.5085714623396071,1.5696272138142824,1.498805573933482,1.6986097011527406,1.4199705999123737
2.2349179926268974,0.6840920494663001,1.5397138292254808,0.09294470173198935,0.07,0.008,scale,7,poly,1,0.6742062568664551,2.1416106034709186,1.6811232308676842,1.9596017105624963,1.8234050838752354,3.5688493343581524,1.5089909117502638,1.5700091148271074,1.4993568883318653,1.699518296831129,1.420693934387039
2.235421721536167,0.6843877552778559,1.540303707141478,0.09300198530763423,0.07,0.007,scale,7,poly,1,0.7166271209716797,2.1419980942353796,1.680942816388561,1.960303777587655,1.8239815360354414,3.5698823834337965,1.5094047337567373,1.570392411663102,1.4999025340419316,1.7003822272587805,1.4214366289868374
2.2359775294388866,0.6846778755689398,1.5409185920704285,0.09307523249687184,0.07,0.006,scale,7,poly,1,0.6844067573547363,2.1424112172618166,1.6808438445399836,1.9610807470354827,1.8245900406063056,3.570961797750843,1.5098260453000734,1.5707916908380641,1.5004770260648181,1.7013064452122992,1.4221917529368877
2.236514072398794,0.6849524263609323,1.5415214359471583,0.09314314333747153,0.07,0.005,scale,7,poly,1,0.6828567981719971,2.1429275108900936,1.680706608139923,1.9617932037880066,1.825172119138353,3.5719709200375953,1.5102545574822437,1.5712008271861213,1.5010409619279554,1.7021910430090281,1.4229197901304427
2.237043949170251,0.6852411553073711,1.542111317859172,0.09320499659919182,0.07,0.004,scale,7,poly,1,0.6923027038574219,2.1433193436685727,1.6805953797701978,1.96252375102126,1.8257580938631306,3.5730231775280954,1.5106651100613369,1.5715372302369677,1.5016209529695166,1.7030771717448143,1.423656124283225
2.2375461393374794,0.685503369987245,1.542690697674561,0.09328574251427396,0.07,0.003,scale,7,poly,1,0.7058923244476318,2.1435981155549926,1.6805278392701424,1.963223158089111,1.8263642969714617,3.5740172868016895,1.51103266333464,1.5719134731030937,1.502172372322178,1.7039721877787766,1.4243627918341157
2.238132457756312,0.6858893519991535,1.5432795871105962,0.09335930471411044,0.07,0.002,scale,7,poly,1,0.7027182579040527,2.1440418327989788,1.6803537669467445,1.9640030948649156,1.8269558370335686,3.5753077571373537,1.511450965327775,1.5722572953993206,1.502715264202565,1.7048784567756763,1.4250959538476449
2.2387283022046995,0.6863067715223311,1.5438801528298,0.09341073833114283,0.07,0.001,scale,7,poly,1,0.7417922019958496,2.1443936439296385,1.6802665512948878,1.9647049611553862,1.8275753859643082,3.5767009686792783,1.511854626968498,1.5726523312391418,1.503306502784857,1.7057360213023065,1.4258512818541975
2.285382865499632,0.6988279768765616,1.597008379495136,0.09946723492610877,0.06000000000000001,0.01,scale,7,poly,1,0.607029914855957,2.2872909908432995,1.707172585362307,1.985755848227189,1.8194476698615198,3.6272472332038435,1.5694816958936861,1.6293964451561544,1.5565094965703556,1.7654703736523738,1.4641838862031098
2.286277213222098,0.6995005010889361,1.5975566980330287,0.0994489325634869,0.06000000000000001,0.009000000000000001,scale,7,poly,1,0.6243386268615723,2.2882677629343835,1.7071286130720733,1.9867034959847854,1.8199293347320624,3.629356859387185,1.5700528621838388,1.6298123175845294,1.5570431908015192,1.7660575622175052,1.4648175573777513
2.287206896928376,0.7002837376114366,1.5980965226532924,0.09943183521395234,0.06000000000000001,0.008,scale,7,poly,1,0.6185505390167236,2.289236462517416,1.7069972293229498,1.9877434323654937,1.8203433853420956,3.6317139750939242,1.5706342429336733,1.6302210199370935,1.5575639308357885,1.7666322679843578,1.4654311515755496
2.2881336234991196,0.7009819748090165,1.5986154172861813,0.09941736925722353,0.06000000000000001,0.007,scale,7,poly,1,0.6199040412902832,2.2902058435912065,1.7069273900405793,1.9887481376527094,1.8208770354854098,3.6339097107256926,1.571226169871506,1.630575530787461,1.5580252026040435,1.7672092616627009,1.4660409215051957
2.289029308628328,0.7017138796521952,1.5991522181249984,0.09939157407388015,0.06000000000000001,0.006,scale,7,poly,1,0.6188874244689941,2.290799511148076,1.706916543047602,1.989773896592822,1.821427244137225,3.636229348215914,1.5717801658300348,1.630928872490336,1.5585393891804797,1.7678045302450245,1.4667081328791172
2.2899900628245895,0.7025526174525165,1.5996641212253186,0.09936744735931237,0.06000000000000001,0.005,scale,7,poly,1,0.6400978565216064,2.2915258783970187,1.7069416992556896,1.9907661098956515,1.821906393145264,3.638810233429323,1.5723364667372488,1.6312890652247085,1.5589273397003145,1.7683815524844948,1.467386181979827
2.2909055861615726,0.7033149643384587,1.6001863121210558,0.09935468921942375,0.06000000000000001,0.004,scale,7,poly,1,0.6424472332000732,2.2923798433146056,1.7069026838243506,1.9916381488309813,1.8224480953733384,3.6411591594645865,1.5729000989081958,1.631619177355698,1.559353223736993,1.769001987063595,1.4680570735407974
2.2918648288314336,0.7041208372237859,1.6006979982908078,0.09928854255647833,0.06000000000000001,0.003,scale,7,poly,1,0.649376630783081,2.2932799608910184,1.7069126323279493,1.99259670305187,1.822903271743543,3.6436315761427873,1.5734649014028868,1.6319891026498612,1.5597851660151125,1.7694871407581645,1.4687636806280133
2.292767515618921,0.7049152898333557,1.6011955332143955,0.09923370172065826,0.06000000000000001,0.002,scale,7,poly,1,0.6687982082366943,2.2939800039187133,1.706963134993074,1.9934493130278876,1.8233720069341626,3.6460731192207683,1.5740493306470744,1.6323380548974624,1.5601782799340245,1.7699760488184273,1.4694359517749889
