,mean Validation Error,1,2,Architecture,alpha,Activation Function
0,1.078893553510015,0.706683721335354,0.021649032934186484,[2000],0.1,relu
1,1.0478900422059791,0.7430702047903383,0.03011058023405582,[2000],0.14949494949494951,relu
2,1.0337406189835336,0.7681714566204374,0.016679513257839573,[2000],0.198989898989899,relu
3,1.031441361091192,0.7835208403583792,0.016451041567643338,[2000],0.2484848484848485,relu
4,1.0208652966675473,0.7937805663896862,0.014509809417857995,[2000],0.297979797979798,relu
5,1.0263690096251339,0.8032522085734904,0.02315129982260754,[2000],0.3474747474747475,relu
6,1.0125225004237342,0.8159029179353156,0.021299309809844347,[2000],0.396969696969697,relu
7,1.0230101853348408,0.8247217904893734,0.018131449316937897,[2000],0.44646464646464656,relu
8,1.0157157765975262,0.8313781515548593,0.025828068110158666,[2000],0.49595959595959604,relu
9,1.0048537086783895,0.8394871700680806,0.036727485725418105,[2000],0.5454545454545455,relu
10,1.0055618169470852,0.8427962524514884,0.023678215630678193,[2000],0.594949494949495,relu
11,1.0074527681944734,0.8479852981340117,0.021800939526689815,[2000],0.6444444444444445,relu
12,1.016307002367404,0.8539970902741327,0.01986042869539455,[2000],0.693939393939394,relu
13,1.010655179851255,0.8565801133752484,0.01718232348513995,[2000],0.7434343434343434,relu
14,1.000487734739325,0.8593637937263996,0.029281402311189104,[2000],0.792929292929293,relu
15,1.0062419104770288,0.8661782971494668,0.021334231305695145,[2000],0.8424242424242425,relu
16,1.005604526225384,0.873648599973619,0.02785767704611896,[2000],0.891919191919192,relu
17,1.0158250422957573,0.8759327077293901,0.029794126788434024,[2000],0.9414141414141415,relu
18,1.012250409093094,0.8763465641647663,0.020490165050275504,[2000],0.990909090909091,relu
19,1.0081850870376878,0.877575677365473,0.027848885296958097,[2000],1.0404040404040407,relu
20,1.00647349107297,0.8811943886408928,0.02315090106479237,[2000],1.0898989898989901,relu
21,1.0075270980403195,0.8792120427970055,0.026137887012471297,[2000],1.1393939393939396,relu
22,1.001605134634499,0.8821807423547084,0.028372873668150757,[2000],1.188888888888889,relu
23,1.0113759450151836,0.8864289058638659,0.025960488506728812,[2000],1.2383838383838386,relu
24,1.0121142477736402,0.8900950311968022,0.02579207178188131,[2000],1.287878787878788,relu
25,1.010509426131372,0.8914544874347075,0.017610731891880227,[2000],1.3373737373737375,relu
26,1.0059620664835498,0.8916528087666732,0.02486600244268346,[2000],1.386868686868687,relu
27,1.015422790143363,0.8972107695759797,0.023607983413336142,[2000],1.4363636363636367,relu
28,1.010612878279228,0.898682502653277,0.02319468330122309,[2000],1.4858585858585862,relu
29,1.0067020343272808,0.9019711904406136,0.023003263340954188,[2000],1.5353535353535357,relu
30,1.0036662076353366,0.902638701922071,0.02556815397164358,[2000],1.5848484848484852,relu
31,1.0144989403958904,0.9048350292196989,0.021592928150782422,[2000],1.6343434343434347,relu
32,1.009447623198243,0.9070091641283122,0.02237233923378438,[2000],1.6838383838383841,relu
33,1.0109532715513954,0.9065248471129493,0.02206416791565073,[2000],1.7333333333333336,relu
34,1.007249753505365,0.9083826372291774,0.027187612239277355,[2000],1.782828282828283,relu
35,1.003727723591178,0.9082235528323978,0.02540372055289297,[2000],1.8323232323232326,relu
36,1.0127008277596876,0.9134426266584292,0.024200634510541552,[2000],1.881818181818182,relu
37,1.0043481393310454,0.9139616553716425,0.03127333170051614,[2000],1.9313131313131315,relu
38,1.013198686478895,0.9095033661800325,0.02741330372310982,[2000],1.9808080808080812,relu
39,1.0086465414061658,0.9160678998565276,0.01878630143237072,[2000],2.0303030303030307,relu
40,1.0109265851924776,0.9144431557337979,0.0259580771145246,[2000],2.07979797979798,relu
41,1.013309608885408,0.9182177710625006,0.022587652347897506,[2000],2.1292929292929297,relu
42,1.0145741268532562,0.9227701203721681,0.023407636821660055,[2000],2.178787878787879,relu
43,1.0054259374488916,0.9186052532455748,0.020401976289866286,[2000],2.2282828282828286,relu
44,1.008616436920128,0.9203569683975523,0.023137066704109782,[2000],2.277777777777778,relu
45,1.016977938695292,0.9232316995105345,0.025544385363046044,[2000],2.3272727272727276,relu
46,1.0104334002898925,0.9217066204702329,0.03178877750709551,[2000],2.376767676767677,relu
47,1.0095780502712102,0.9235203796401348,0.023297332406838227,[2000],2.4262626262626266,relu
48,1.013167686190034,0.9244500991316897,0.026691185522949547,[2000],2.475757575757576,relu
49,1.0039594182849902,0.9258645512045915,0.02594678366562729,[2000],2.5252525252525255,relu
50,1.0079116808790431,0.9271044233679246,0.02740822236278708,[2000],2.574747474747475,relu
51,1.0095030373059453,0.9268178705675084,0.02326820851564728,[2000],2.6242424242424245,relu
52,1.0074028873444187,0.9296516708331046,0.02843710210606981,[2000],2.673737373737374,relu
53,1.007810333423134,0.9315706594457178,0.023991382392634212,[2000],2.7232323232323234,relu
54,1.018625527238585,0.9323282335600199,0.024544707290576454,[2000],2.7727272727272734,relu
55,1.0178527012037173,0.9306867597593195,0.02061733214315133,[2000],2.822222222222223,relu
56,1.0140251030005467,0.9342721585235605,0.02701779365650975,[2000],2.8717171717171723,relu
57,1.0160383569917388,0.9326367625727666,0.021613507425874843,[2000],2.921212121212122,relu
58,1.0120513233630208,0.9339810190331048,0.026071936149950226,[2000],2.9707070707070713,relu
59,1.014890926461038,0.9359534054663702,0.02022111358650233,[2000],3.0202020202020208,relu
60,1.0127980481615324,0.9366056276771,0.023297635560418875,[2000],3.0696969696969703,relu
61,1.010530828764547,0.9376306468902599,0.022018556690309117,[2000],3.1191919191919197,relu
62,1.018785506540618,0.9387890382526555,0.022108533345041596,[2000],3.168686868686869,relu
63,1.0141200017007523,0.9377625910721806,0.023406249298260226,[2000],3.2181818181818187,relu
64,1.0084786627129851,0.9373170911821064,0.021807206177933917,[2000],3.267676767676768,relu
65,1.0143963543988175,0.9391422275785567,0.02194935868088564,[2000],3.3171717171717177,relu
66,1.0154583333917078,0.9389562560299001,0.021576196679239386,[2000],3.366666666666667,relu
67,1.0142483900281998,0.9421537236472919,0.023475008938932847,[2000],3.4161616161616166,relu
