,mean Validation Error,Mean training,alpha
75,2.189643530191412,2.154519731248503,0.76
76,2.1896420553495286,2.154521257630224,0.77
77,2.1896405864468953,2.15452279076171,0.78
78,2.189639123480699,2.154524330626453,0.79
79,2.1896376664481285,2.1545258772080804,0.8
80,2.1896362153463755,2.154527430490378,0.81
81,2.1896347701726344,2.1545289904572744,0.8200000000000001
82,2.189633330924098,2.15453055709286,0.8300000000000001
83,2.1896318975979683,2.1545321303813814,0.8400000000000001
84,2.189630470191443,2.1545337103072404,0.85
85,2.1896290487017254,2.154535296855002,0.86
86,2.1896276331260207,2.154536890009397,0.87
87,2.189626223461535,2.154538489755315,0.88
88,2.189624819705479,2.1545400960778083,0.89
89,2.189623421855064,2.1545417089620997,0.9
90,2.1896220299075035,2.1545433283935753,0.91
91,2.1896206438600134,2.154544954357786,0.92
92,2.1896192637098126,2.154546586840448,0.93
93,2.189617889454122,2.1545482258274404,0.9400000000000001
94,2.189616521090164,2.154549871304806,0.9500000000000001
95,2.189615158615162,2.154551523258758,0.9600000000000001
96,2.1896138020263476,2.154553181675661,0.97
97,2.1896124513209467,2.15455484654205,0.98
98,2.1896111064961925,2.154556517844618,0.99
99,2.189609767549321,2.154558195570207,1.0
100,2.189608434477564,2.1545598797058316,1.01
101,2.189607107278164,2.1545615702386494,1.02
102,2.18960578594836,2.15456326715598,1.03
103,2.1896044704853974,2.1545649704452883,1.04
104,2.189603160886519,2.1545666800941947,1.05
105,2.189601857148973,2.154568396090466,1.06
106,2.18960055927001,2.154570118422013,1.07
107,2.189599267246881,2.154571847076891,1.08
108,2.1895979810768433,2.1545735820433025,1.09
109,2.1895967007571495,2.154575323309584,1.1
110,2.18959542628506,2.1545770708642102,1.11
111,2.1895941576578366,2.154578824695795,1.12
112,2.1895928948727423,2.1545805847930826,1.1300000000000001
113,2.189591637927042,2.1545823511449482,1.1400000000000001
114,2.1895903868180047,2.1545841237404004,1.1500000000000001
115,2.189589141542899,2.1545859025685647,1.1600000000000001
116,2.189587902098998,2.1545876876186982,1.17
117,2.1895866684835754,2.154589478880184,1.18
118,2.18958544069391,2.154591276342517,1.19
119,2.189584218727279,2.1545930799953084,1.2
120,2.1895830025809637,2.1545948898282923,1.21
121,2.1895817922522487,2.154596705831315,1.22
122,2.189580587738419,2.1545985279943256,1.23
123,2.1895793890367607,2.1546003563073928,1.24
124,2.189578196144568,2.1546021907606865,1.25
125,2.18957700905913,2.1546040313444785,1.26
126,2.189575827777743,2.1546058780491495,1.27
127,2.1895746522977033,2.154607730865175,1.28
128,2.1895734826163094,2.154609589783135,1.29
129,2.189572318730865,2.154611454793698,1.3
130,2.1895711606386703,2.1546133258876337,1.31
131,2.189570008337034,2.154615203055801,1.32
132,2.1895688618232625,2.154617086289149,1.33
133,2.189567721094666,2.15461897557872,1.34
134,2.1895665861485583,2.1546208709156365,1.35
135,2.1895654569822534,2.154622772291108,1.36
136,2.1895643335930686,2.154624679696436,1.37
137,2.1895632159783216,2.1546265931229884,1.3800000000000001
138,2.1895621041353355,2.154628512562224,1.3900000000000001
139,2.1895609980614354,2.154630438005675,1.4000000000000001
140,2.189559897753943,2.1546323694449523,1.4100000000000001
141,2.1895588032101894,2.1546343068717424,1.42
142,2.189557714427503,2.1546362502778007,1.43
143,2.1895566314032187,2.1546381996549613,1.44
144,2.18955555413467,2.1546401549951213,1.45
145,2.1895544826191946,2.154642116290254,1.46
146,2.189553416854131,2.1546440835323932,1.47
147,2.1895523568368196,2.154646056713643,1.48
148,2.189551302564605,2.1546480358261704,1.49
149,2.1895502540348346,2.1546500208622126,1.5
150,2.189549211244855,2.154652011814055,1.51
151,2.189548174192016,2.154654008674058,1.52
152,2.189547142873671,2.154656011434632,1.53
153,2.1895461172871755,2.154658020088251,1.54
154,2.1895450974298845,2.154660034627444,1.55
155,2.189544083299159,2.1546620550448017,1.56
156,2.1895430748923594,2.154664081332957,1.57
157,2.189542072206849,2.1546661134846112,1.58
158,2.1895410752399944,2.154668151492511,1.59
159,2.189540083989163,2.154670195349455,1.6
160,2.1895390984517276,2.1546722450482942,1.61
161,2.1895381186250567,2.1546743005819318,1.62
162,2.1895371445065273,2.1546763619433182,1.6300000000000001
163,2.1895361760935157,2.1546784291254464,1.6400000000000001
164,2.1895352133834023,2.1546805021213666,1.6500000000000001
165,2.189534256373567,2.1546825809241676,1.6600000000000001
166,2.1895333050613925,2.1546846655269896,1.6700000000000002
167,2.189532359444266,2.1546867559230125,1.68
168,2.189531419519575,2.1546888521054646,1.69
169,2.1895304852847097,2.1546909540676156,1.7
170,2.189529556737062,2.154693061802774,1.71
171,2.189528633874028,2.154695175304295,1.72
172,2.1895277166930027,2.1546972945655734,1.73
173,2.1895268051913863,2.1546994195800466,1.74
174,2.1895258993665787,2.154701550341186,1.75
175,2.1895249992159846,2.154703686842505,1.76
176,2.1895241047370084,2.15470582907756,1.77
177,2.189523215927059,2.1547079770399384,1.78
178,2.1895223327835436,2.1547101307232643,1.79
179,2.189521455303879,2.1547122901212075,1.8
180,2.189520583485475,2.1547144552274657,1.81
181,2.18951971732575,2.1547166260357717,1.82
182,2.189518856822125,2.154718802539902,1.83
183,2.1895180019720177,2.154720984733657,1.84
184,2.1895171527728534,2.154723172610878,1.85
185,2.1895163092220553,2.1547253661654397,1.86
186,2.189515471317053,2.1547275653912465,1.87
187,2.1895146390552735,2.1547297702822377,1.8800000000000001
188,2.1895138124341518,2.154731980832383,1.8900000000000001
189,2.189512991451121,2.154734197035687,1.9000000000000001
190,2.189512176103616,2.1547364188861855,1.9100000000000001
191,2.189511366389076,2.154738646377938,1.9200000000000002
192,2.189510562304943,2.154740879505047,1.93
193,2.1895097638486583,2.154743118261636,1.94
194,2.1895089710176694,2.1547453626418607,1.95
195,2.1895081838094193,2.1547476126399054,1.96
196,2.18950740222136,2.1547498682499895,1.97
197,2.1895066262509424,2.1547521294663525,1.98
198,2.1895058558956224,2.1547543962832707,1.99
199,2.1895050911528533,2.154756668695039,2.0
200,2.1895043320200935,2.1547589466959884,2.01
201,2.1895035784948047,2.154761230280477,2.02
202,2.1895028305744484,2.154763519442887,2.03
203,2.1895020882564897,2.1547658141776256,2.04
